95;American-Style Lager
70;Belgian-Style Fruit Lambic
50;South German-Style Hefeweizen
25;Porter
-1;
10;English-Style Pale Mild Ale
26;American-Style Pale Ale
90;Traditional German-Style Bock
-1;
-1;
31;American-Style India Pale Ale
43;American-Style Imperial Stout
-1;
-1;
38;American-Style Brown Ale
-1;
-1;
-1;
-1;
90;Traditional German-Style Bock
-1;
50;South German-Style Hefeweizen
33;American-Style Amber/Red Ale
90;Traditional German-Style Bock
-1;
-1;
50;South German-Style Hefeweizen
-1;
95;American-Style Lager
95;American-Style Lager
26;American-Style Pale Ale
33;American-Style Amber/Red Ale
25;Porter
33;American-Style Amber/Red Ale
-1;
33;American-Style Amber/Red Ale
90;Traditional German-Style Bock
-1;
50;South German-Style Hefeweizen
-1;
38;American-Style Brown Ale
-1;
42;American-Style Stout
95;American-Style Lager
50;South German-Style Hefeweizen
95;American-Style Lager
-1;
13;Old Ale
95;American-Style Lager
26;American-Style Pale Ale
31;American-Style India Pale Ale
26;American-Style Pale Ale
-1;
-1;
-1;
38;American-Style Brown Ale
-1;
31;American-Style India Pale Ale
-1;
95;American-Style Lager
25;Porter
31;American-Style India Pale Ale
66;Belgian-Style Dark Strong Ale
42;American-Style Stout
90;Traditional German-Style Bock
-1;
25;Porter
-1;
26;American-Style Pale Ale
-1;
-1;
-1;
26;American-Style Pale Ale
-1;
-1;
95;American-Style Lager
-1;
26;American-Style Pale Ale
26;American-Style Pale Ale
25;Porter
-1;
-1;
38;American-Style Brown Ale
90;Traditional German-Style Bock
-1;
90;Traditional German-Style Bock
90;Traditional German-Style Bock
-1;
90;Traditional German-Style Bock
25;Porter
50;South German-Style Hefeweizen
-1;
26;American-Style Pale Ale
21;Oatmeal Stout
25;Porter
25;Porter
90;Traditional German-Style Bock
26;American-Style Pale Ale
-1;
33;American-Style Amber/Red Ale
31;American-Style India Pale Ale
26;American-Style Pale Ale
84;German-Style Oktoberfest
95;American-Style Lager
26;American-Style Pale Ale
-1;
-1;
-1;
-1;
95;American-Style Lager
-1;
25;Porter
26;American-Style Pale Ale
50;South German-Style Hefeweizen
50;South German-Style Hefeweizen
-1;
-1;
86;German-Style Schwarzbier
50;South German-Style Hefeweizen
-1;
-1;
-1;
90;Traditional German-Style Bock
90;Traditional German-Style Bock
95;American-Style Lager
-1;
42;American-Style Stout
-1;
25;Porter
38;American-Style Brown Ale
42;American-Style Stout
10;English-Style Pale Mild Ale
-1;
-1;
-1;
-1;
-1;
84;German-Style Oktoberfest
25;Porter
33;American-Style Amber/Red Ale
42;American-Style Stout
-1;
95;American-Style Lager
26;American-Style Pale Ale
31;American-Style India Pale Ale
42;American-Style Stout
-1;
25;Porter
95;American-Style Lager
116;Light American Wheat Ale or Lager
-1;
-1;
-1;
5;Extra Special Bitter
57;German-Style Brown Ale/Altbier
77;German-Style Pilsener
119;American Rye Ale or Lager
26;American-Style Pale Ale
26;American-Style Pale Ale
5;Extra Special Bitter
-1;
-1;
90;Traditional German-Style Bock
-1;
-1;
26;American-Style Pale Ale
-1;
60;Belgian-Style Dubbel
-1;
42;American-Style Stout
-1;
-1;
95;American-Style Lager
-1;
-1;
33;American-Style Amber/Red Ale
33;American-Style Amber/Red Ale
25;Porter
-1;
42;American-Style Stout
-1;
-1;
42;American-Style Stout
-1;
26;American-Style Pale Ale
-1;
90;Traditional German-Style Bock
42;American-Style Stout
72;Other Belgian-Style Ales
13;Old Ale
90;Traditional German-Style Bock
38;American-Style Brown Ale
-1;
-1;
38;American-Style Brown Ale
84;German-Style Oktoberfest
-1;
-1;
-1;
26;American-Style Pale Ale
-1;
42;American-Style Stout
-1;
-1;
-1;
-1;
13;Old Ale
10;English-Style Pale Mild Ale
65;Belgian-Style Pale Strong Ale
26;American-Style Pale Ale
95;American-Style Lager
-1;
-1;
50;South German-Style Hefeweizen
-1;
-1;
-1;
95;American-Style Lager
116;Light American Wheat Ale or Lager
26;American-Style Pale Ale
-1;
-1;
42;American-Style Stout
-1;
95;American-Style Lager
50;South German-Style Hefeweizen
26;American-Style Pale Ale
-1;
-1;
-1;
95;American-Style Lager
26;American-Style Pale Ale
50;South German-Style Hefeweizen
95;American-Style Lager
42;American-Style Stout
-1;
-1;
-1;
61;Belgian-Style Tripel
25;Porter
43;American-Style Imperial Stout
84;German-Style Oktoberfest
-1;
95;American-Style Lager
38;American-Style Brown Ale
33;American-Style Amber/Red Ale
-1;
42;American-Style Stout
50;South German-Style Hefeweizen
42;American-Style Stout
90;Traditional German-Style Bock
-1;
95;American-Style Lager
33;American-Style Amber/Red Ale
95;American-Style Lager
13;Old Ale
42;American-Style Stout
42;American-Style Stout
84;German-Style Oktoberfest
113;American-Style Cream Ale or Lager
84;German-Style Oktoberfest
-1;
95;American-Style Lager
95;American-Style Lager
26;American-Style Pale Ale
-1;
-1;
26;American-Style Pale Ale
90;Traditional German-Style Bock
42;American-Style Stout
42;American-Style Stout
31;American-Style India Pale Ale
37;Golden or Blonde Ale
31;American-Style India Pale Ale
26;American-Style Pale Ale
42;American-Style Stout
26;American-Style Pale Ale
50;South German-Style Hefeweizen
95;American-Style Lager
26;American-Style Pale Ale
-1;
84;German-Style Oktoberfest
-1;
26;American-Style Pale Ale
-1;
90;Traditional German-Style Bock
-1;
-1;
-1;
33;American-Style Amber/Red Ale
42;American-Style Stout
38;American-Style Brown Ale
32;Imperial or Double India Pale Ale
42;American-Style Stout
38;American-Style Brown Ale
33;American-Style Amber/Red Ale
31;American-Style India Pale Ale
84;German-Style Oktoberfest
-1;
-1;
-1;
25;Porter
95;American-Style Lager
-1;
