106;Pendle Witches Brew;;884;3;26;5,099999905;0;0;0;;2010-07-22T22:00:00+02:00
1060;Honey Pilsner;;1169;8;95;4,5;0;0;0;;2010-07-22T22:00:00+02:00
1061;Cream Ale;;1169;8;95;0;0;0;0;;2010-07-22T22:00:00+02:00
1062;Moneuse Speciale Noël;;170;-1;-1;0;0;0;0;;2010-07-22T22:00:00+02:00
1063;Speciale Noël;;192;-1;-1;0;0;0;0;;2010-07-22T22:00:00+02:00
1064;Christmas Ale;;246;-1;-1;8,5;0;0;0;;2010-07-22T22:00:00+02:00
1065;K-O Blond Beer;;432;-1;-1;10;0;0;0;;2010-07-22T22:00:00+02:00
1066;Brune / Bruin;;295;-1;-1;7,5;0;0;0;;2010-07-22T22:00:00+02:00
1067;Grotten Brown;The latest acquisition “Grottenbier” was created by Master Brewer Pierre Celis. It is an aromatic dark beer with 6.5% alcohol content.   In the marl pits in Kanne ( Belgium) and Valkenburg (the Netherlands), deep under the ground, you can taste the Grottenbier in a constant temperature of 11° Celsius.   As it is the case with Champagne, the bottles are placed in a “pupitre” with results in an additional fermentation.    This beer with a high fermentation with a second fermentation in the bottle has been pointed out as one of the best 10 present-day beers by beer guru Michael Jackson.;296;3;29;6,699999809;0;0;0;;2010-07-22T22:00:00+02:00
1068;Barley Wine Ale;;447;-1;-1;10;0;0;0;;2010-07-22T22:00:00+02:00
1069;Doggie Claws 2004;;622;-1;-1;11,5;0;0;0;;2010-07-22T22:00:00+02:00
107;Carnegie Stark-Porter;;345;2;25;5,5;0;0;0;;2010-07-22T22:00:00+02:00
1070;Imperial Stout;;765;3;42;8,199999809;0;0;0;;2010-07-22T22:00:00+02:00
1071;Censored (aka The Kronic);;765;3;33;5,900000095;0;0;0;;2010-07-22T22:00:00+02:00
1072;Wee Beast;;703;1;15;7;0;0;0;;2010-07-22T22:00:00+02:00
1073;Bloesem Bink;;286;-1;-1;7,099999905;0;0;0;;2010-07-22T22:00:00+02:00
1074;Loterbol;;282;-1;-1;8;0;0;0;;2010-07-22T22:00:00+02:00
1075;IPA;;1242;3;31;6,699999809;0;0;0;;2010-07-22T22:00:00+02:00
1076;Ruth;;622;-1;-1;4,5;0;0;0;;2010-07-22T22:00:00+02:00
1077;Mojave Gold;;693;8;95;0;0;0;0;;2010-07-22T22:00:00+02:00
1078;Eastern Sierra Lager;;693;-1;-1;0;0;0;0;;2010-07-22T22:00:00+02:00
1079;Princess of Darkness Porter;;1366;2;25;5,400000095;0;0;0;;2010-07-22T22:00:00+02:00
108;Harvest Ale 2002;;727;1;13;11,5;0;0;0;;2010-07-22T22:00:00+02:00
1080;Mojave Red;;693;8;95;0;0;0;0;;2010-07-22T22:00:00+02:00
1081;Desert Pale Ale;;693;3;26;0;0;0;0;;2010-07-22T22:00:00+02:00
1082;Plaid Bastard;;592;1;15;8;0;0;0;;2010-07-22T22:00:00+02:00
1083;Dos Rios Vienna Lager;;577;8;95;0;0;0;0;;2010-07-22T22:00:00+02:00
1084;Rye On;;371;8;95;4,800000191;0;0;0;;2010-07-22T22:00:00+02:00
1085;Black Lab Stout;;116;3;42;0;0;0;0;;2010-07-22T22:00:00+02:00
1086;Loyal Duke Scotch Ale;;36;1;15;8,600000382;0;0;0;;2010-07-22T22:00:00+02:00
1087;Amber;;822;3;38;0;0;0;0;;2010-07-22T22:00:00+02:00
1088;Jubilee Ale;;702;1;13;0;0;0;0;;2010-07-22T22:00:00+02:00
1089;Mocha Joe;;382;-1;-1;8,100000382;0;0;0;;2010-07-22T22:00:00+02:00
109;Woody Organic IPA;;1075;3;31;6,199999809;0;0;0;;2010-07-22T22:00:00+02:00
1090;Otis Alt;;491;3;38;5,300000191;0;0;0;;2010-07-22T22:00:00+02:00
1091;Weizen;;977;4;50;0;0;0;0;;2010-07-22T22:00:00+02:00
1092;Kellerbier;;1284;-1;-1;0;0;0;0;;2010-07-22T22:00:00+02:00
1093;American Pale Ale;Thomas Hooker American Pale Ale is an extremely vivid, medium-bodied brew. Hooker Pale Ale stresses the crisp bitterness, lingering resin flavor, and aroma of American hops which are characteristic of the most distinctive West Coast Ales. The caramel sweetness of the malt balances the chock-full-of-hops flavor to yield a complex but quite refreshing brew.;1258;3;26;5,199999809;0;0;0;;2010-07-22T22:00:00+02:00
1094;Sled Dog Doppelbock;;1333;7;90;0;0;0;0;;2010-07-22T22:00:00+02:00
1095;Weathertop Doppelbock;;866;7;90;7,300000191;0;0;0;;2010-07-22T22:00:00+02:00
1096;Wheat Wine;;1013;-1;-1;11,5;0;0;0;;2010-07-22T22:00:00+02:00
